Time_Point_(Week#),Media_type,Flow_type,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
3,Std,0,1,0.260,0.320,0.436,"327,680"
3,Std,50,1,0.460,0.620,0.722,"634,880"
3,Std,100,1,0.380,0.430,0.567,"440,320"
3,Std,150,1,0.340,0.420,0.685,"430,080"
4,Std,0,1,0.180,0.260,0.851,"266,240"
4,Std,50,1,0.550,0.750,0.961,"768,000"
4,Std,100,1,0.500,0.620,1.080,"634,880"
4,Std,150,1,0.510,0.600,0.648,"614,400"
5,Std,0,1,0.190,0.320,0.492,"327,680"
5,Std,50,1,0.480,0.400,0.614,"409,600"
5,Std,100,1,0.330,0.650,0.750,"665,600"
5,Std,150,1,0.250,0.380,0.373,"389,120"
6,Std,0,1,0.110,0.220,0.210,"225,280"
6,Std,50,1,0.260,0.360,0.660,"368,640"
6,Std,100,1,0.320,0.360,0.659,"368,640"
6,Std,150,1,0.380,0.520,0.550,"532,480"
7,Std,0,1,0.080,0.150,0.073,"153,600"
7,Std,50,1,0.350,0.240,0.435,"245,760"
7,Std,100,1,0.360,0.420,0.672,"430,080"
7,Std,150,1,0.400,0.400,0.508,"409,600"
0,10%CS,0,1,0.120,0.120,0.200,"122,880"
0,10%CS,50,1,0.330,0.330,0.440,"337,920"
0,10%CS,100,1,0.140,0.140,0.180,"143,360"
0,10%CS,150,1,0.170,0.170,0.080,"174,080"
1,10%CS,0,1,0.330,0.223,0.372,"228,447"
1,10%CS,50,1,0.570,0.209,0.710,"214,139"
1,10%CS,100,1,0.400,0.389,0.258,"398,159"
1,10%CS,150,1,0.420,0.155,0.542,"159,180"
2,10%CS,0,1,0.330,0.320,0.510,"327,587"
2,10%CS,50,1,0.560,0.400,0.672,"409,762"
2,10%CS,100,1,0.410,0.479,0.336,"490,155"
2,10%CS,150,1,0.430,0.436,0.706,"446,652"
3,10%CS,0,1,0.430,0.351,0.399,"359,199"
3,10%CS,50,1,0.680,0.501,0.590,"513,251"
3,10%CS,100,1,0.650,0.702,0.376,"719,319"
3,10%CS,150,1,0.560,0.371,0.559,"380,220"
4,10%CS,0,1,0.390,0.325,0.460,"332,418"
4,10%CS,50,1,0.870,0.412,0.927,"421,858"
4,10%CS,100,1,0.570,0.607,1.084,"621,726"
4,10%CS,150,1,0.460,0.451,0.489,"462,093"
5,10%CS,0,1,0.380,0.235,0.325,"240,959"
5,10%CS,50,1,0.660,0.288,0.510,"294,600"
5,10%CS,100,1,0.550,0.472,0.716,"483,552"
5,10%CS,150,1,0.480,0.349,0.383,"357,048"
6,10%CS,0,1,0.260,0.197,0.165,"201,783"
6,10%CS,50,1,0.570,0.201,0.429,"205,368"
6,10%CS,100,1,0.640,0.416,0.738,"425,487"
6,10%CS,150,1,0.670,0.298,0.605,"305,420"
7,10%CS,0,1,0.150,0.078,0.131,"80,377"
7,10%CS,50,1,0.650,0.180,0.391,"184,446"
7,10%CS,100,1,0.680,0.439,0.476,"449,873"
