Time_Point,Media Type,Flow Rate,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
6,10%CS,100,1,1.025,0.88,1.283,"220,470"
6,10%CS,150,0,0.3568,0.313,0.6549,"392,210"
6,10%CS,150,1,0.3299,0.2934,0.5863,"282,926"
6,10%CS,0,0,0.191,0.206,0.134,
6,10%CS,0,1,0.188,0.202,0.4705,
7,10%CS,50,0,0.2014,0.2126,0.579,"115,530"
7,10%CS,50,1,0.1772,0.177,0.4352,"95,104"
7,10%CS,100,0,1.669,1.502,0.194,
7,10%CS,100,1,1.241,1.004,1.068,
7,10%CS,150,0,0.1442,0.3775,0.6531,"143,383"
7,10%CS,150,1,0.125,0.3031,0.5401,"281,167"
7,10%CS,0,0,0.1255,0.1045,0.119,
7,10%CS,0,1,0.1045,0.0865,0.086,
0,10%CS,50,0,0.4262,0.3176,0.4593,"475,245"
0,10%CS,50,1,0.3098,0.2624,0.3542,"185,720"
0,10%CS,100,0,0.456,0.365,0.221,
0,10%CS,100,1,0.459,0.37,0.354,
0,10%CS,150,0,0.079,0.0904,0.0923,"273,469"
0,10%CS,150,1,0.0795,0.1243,0.1277,"141,867"
0,10%CS,0,0,0.314,0.244,0.221,
0,10%CS,0,1,0.314,0.244,0.217,
1,10%CS,50,0,0.3042,0.1712,0.1952,"543,378"
1,10%CS,50,1,0.2992,0.1878,0.794,"136,025"
1,10%CS,100,0,0.26,0.277,0.335,
1,10%CS,100,1,0.224,0.249,0.697,
1,10%CS,150,0,0.3178,0.1535,0.2836,"267,589"
1,10%CS,150,1,0.3118,0.151,0.8529,"68,014"
1,10%CS,0,0,0.293,0.24,0.335,
1,10%CS,0,1,0.278,0.231,0.405,
2,10%CS,50,0,0.4235,0.1119,0.1381,"796,779"
2,10%CS,50,1,0.4306,0.4043,0.6504,"46,905"
2,10%CS,100,0,0.531,0.411,0.391,
2,10%CS,100,1,0.626,0.491,0.481,
2,10%CS,150,0,0.4499,0.3582,0.7932,"305,836"
2,10%CS,150,1,0.512,0.3468,0.7628,"231,254"
2,10%CS,0,0,0.444,0.374,0.225,
2,10%CS,0,1,0.428,0.341,0.506,
3,10%CS,50,0,0.664,0.0921,0.0935,"635,842"
3,10%CS,50,1,0.6379,0.485,0.7476,"144,411"
3,10%CS,100,0,0.201,0.193,0.26,
3,10%CS,100,1,0.195,0.173,0.236,
3,10%CS,150,0,0.4776,0.3674,0.6717,"799,376"
3,10%CS,150,1,0.4768,0.3644,0.7163,"468,165"
3,10%CS,0,0,0.514,0.421,0.724,
3,10%CS,0,1,0.51,0.421,0.557,
3.5,10%CS,50,0,0.5413,0.3986,0.7795,"579,458"
3.5,10%CS,50,1,0.5038,0.3839,0.7637,"409,819"
3.5,10%CS,100,0,0.9345,0.7335,0.6365,
3.5,10%CS,100,1,0.868,0.675,0.7135,
3.5,10%CS,150,0,0.2494,0.2041,0.3792,"345,028"
3.5,10%CS,150,1,0.2437,0.1848,0.3366,"583,734"
3.5,10%CS,0,0,0.711,0.6945,0.645,
3.5,10%CS,0,1,0.7345,0.619,0.8155,
4,10%CS,50,0,0.4996,0.4383,0.9799,"368,249"
4,10%CS,50,1,0.4753,0.4126,0.9524,"577,761"
4,10%CS,100,0,1.668,1.274,1.013,
4,10%CS,100,1,1.541,1.177,1.191,
4,10%CS,150,0,0.6054,0.4735,0.7157,"350,305"
4,10%CS,150,1,0.5771,0.4483,0.6746,"500,566"
4,10%CS,0,0,0.908,0.968,0.566,
4,10%CS,0,1,0.959,0.817,1.074,
5,10%CS,50,0,0.3202,0.2196,0.3634,"245,605"
5,10%CS,50,1,0.318,0.1916,0.6751,"167,080"
5,10%CS,100,0,1.102,1.207,1.207,
5,10%CS,100,1,1.111,0.985,1.133,
5,10%CS,150,0,0.4755,0.3965,0.4924,"188,258"
5,10%CS,150,1,0.4012,0.3096,0.3862,"268,353"
5,10%CS,0,0,0.5495,0.587,0.157,
5,10%CS,0,1,0.576,0.5108,0.7693,
6,10%CS,50,0,0.258,0.2614,0.6424,"187,086"
6,10%CS,50,1,0.1951,0.1962,0.709,"198,925"
6,10%CS,100,0,1.321,1.161,0.706,
6,10%CS,100,1,1.074,0.929,1.293,
6,10%CS,150,0,0.4099,0.3572,0.7401,"414,442"
6,10%CS,150,1,0.3299,0.2964,0.5886,"169,468"
6,10%CS,0,0,0.191,0.206,0.134,
6,10%CS,0,1,0.193,0.2045,0.4645,
7,Std,0,0,0.113,0.097,0.0973,
7,Std,0,1,0.1165,0.1015,0.1125,
0,Std,0,0,0.0782,0.0686,0.0695,"91,609"
0,Std,0,1,0.0826,0.0721,0.2531,"344,408"
1,Std,0,0,0.0753,0.0658,0.0645,"151,835"
1,Std,0,1,0.074,0.0657,0.3999,"163,086"
2,Std,0,0,0.4015,0.3223,0.671,"166,477"
2,Std,0,1,0.3989,0.3363,0.6258,"115,290"
3,Std,0,0,0.3735,0.3451,0.4085,"139,230"
3,Std,0,1,0.3785,0.3544,0.4541,"149,128"
3.5,Std,0,0,0.623,0.0845,0.0822,
3.5,Std,0,1,0.389,0.7842,0.428,"169,027"
4,Std,0,0,0.396,0.0595,0.058,
4,Std,0,1,0.558,0.4586,0.3761,"402,398"
5,Std,0,0,0.396,0.0578,0.0572,
5,Std,0,1,0.3707,0.4693,0.1084,"317,805"
6,Std,0,0,0.169,0.0575,0.0577,
6,Std,0,1,0.1833,0.5324,0.1065,"119,700"
7,Std,0,0,0.113,0.097,0.0973,
7,Std,0,1,0.117,0.102,0.1175,
7,Std,0,1,,,,"127,901"
0,Std,0,0,0.2685,0.2085,0.203,
0,Std,0,1,0.289,0.2245,0.212,
0,Std,0,0,0.0816,0.0721,0.074,"16,439"
0,Std,0,1,0.0826,0.0723,0.2399,"52,416"
1,Std,0,0,0.32,0.2565,0.3835,
1,Std,0,1,0.34,0.265,0.394,
1,Std,0,0,0.0768,0.0674,0.0676,"38,089"
1,Std,0,1,0.074,0.0668,0.4108,"44,239"
2,Std,0,0,0.308,0.2345,0.3743,
2,Std,0,1,0.324,0.248,0.287,
2,Std,0,0,0.3963,0.347,0.7962,"414,176"
2,Std,0,1,0.3989,0.3353,0.6606,"170,124"
3,Std,0,0,0.3795,0.309,0.4917,
3,Std,0,1,0.3945,0.3235,0.3985,
3,Std,0,0,0.3733,0.3487,0.4419,"163,134"
3,Std,0,1,0.3785,0.3327,0.4227,"323,046"
3.5,Std,0,0,0.5013,0.4705,0.7323,
3.5,Std,0,1,0.5175,0.4378,0.6165,
3.5,Std,0,0,,0.0854,0.0847,
3.5,Std,0,1,,0.6928,0.375,"475,695"
4,Std,0,0,0.623,0.632,0.973,
4,Std,0,1,0.6405,0.552,0.8345,
4,Std,0,0,,0.0601,0.0596,
4,Std,0,1,,0.4479,0.312,"194,615"
5,Std,0,0,0.396,0.4028,0.1367,
5,Std,0,1,0.4096,0.3658,0.5961,
5,Std,0,0,,0.0597,0.0602,
5,Std,0,1,,0.4461,0.108,"178,677"
6,Std,0,0,0.169,0.1737,0.3537,
